"1696-1277";"Circunstancia (Madrid)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B3"
"0304-2685";"Ciência & Tropico";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"0103-9954";"Ciência Florestal (UFSM. Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"2179-460X";"Ciência e Natura";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B4"
"1413-8123";"Ciência e Saúde Coletiva (Impresso)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B1"
"1678-457X";"Ciência e Tecnologia de Alimentos (Online)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"1806-5821";"Ciências & Cognição (UFRJ)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B5"
"1981-4747";"Ciências Sociais em Perspectiva";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B5"
"2318-9193";"Ciências em Debate";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B5"
"1618-954X";"Clean Technologies and Environmental Policy (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1984-3909";"Coffee Science";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0269-9931";"Cognition and Emotion (Print)";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"1466-1802";"Colonial Latin American Review";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"B2"
"0010-4140";"Comparative Political Studies";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A2"
"0927-7099";"Computational Economics";"ADMINISTRAÇÃO, CIÊNCIAS CONTÁBEIS E TURISMO";"A1"
